species,catalog,catalog_id,p,N,matches_checked,FR,FA,cost
beluga,Belugas-Cook-Inlet,beluga-0,0.720676614,109,1,0.083185841,0.172566372,1130
beluga,Belugas-Cook-Inlet,beluga-0,0.720676614,109,5,0.178761062,0,2148
beluga,Belugas-Cook-Inlet,beluga-0,0.720676614,109,10,0.137168142,0,3046
beluga,Belugas-Cook-Inlet,beluga-0,0.720676614,109,15,0.114159292,0,3776
beluga,Belugas-Cook-Inlet,beluga-0,0.720676614,109,20,0.098230088,0,4387
beluga,Belugas-Cook-Inlet,beluga-0,0.720676614,109,25,0.087610619,0,4921
beluga,Belugas-Cook-Inlet,beluga-0,0.720676614,109,30,0.07699115,0,5386
beluga,Belugas-Cook-Inlet,beluga-0,0.720676614,109,35,0.072566372,0,5811
beluga,Belugas-Cook-Inlet,beluga-0,0.720676614,109,40,0.07079646,0,6218
beluga,Belugas-Cook-Inlet,beluga-0,0.720676614,109,45,0.06460177,0,6601
beluga,Belugas-Cook-Inlet,beluga-0,0.720676614,109,50,0.062831858,0,6959
beluga,GREMM_BELUGA_ID_PHOTOS,beluga-1,0.459607458,2029,1,0.069052103,0.096672944,3186
beluga,GREMM_BELUGA_ID_PHOTOS,beluga-1,0.459607458,2029,5,0.095731325,0,4873
beluga,GREMM_BELUGA_ID_PHOTOS,beluga-1,0.459607458,2029,10,0.072504708,0,6223
beluga,GREMM_BELUGA_ID_PHOTOS,beluga-1,0.459607458,2029,15,0.061833019,0,7310
beluga,GREMM_BELUGA_ID_PHOTOS,beluga-1,0.459607458,2029,20,0.054927809,0,8246
beluga,GREMM_BELUGA_ID_PHOTOS,beluga-1,0.459607458,2029,25,0.051161331,0,9101
beluga,GREMM_BELUGA_ID_PHOTOS,beluga-1,0.459607458,2029,30,0.048022599,0,9904
beluga,GREMM_BELUGA_ID_PHOTOS,beluga-1,0.459607458,2029,35,0.04519774,0,10650
beluga,GREMM_BELUGA_ID_PHOTOS,beluga-1,0.459607458,2029,40,0.043000628,0,11354
beluga,GREMM_BELUGA_ID_PHOTOS,beluga-1,0.459607458,2029,45,0.041117389,0,12022
beluga,GREMM_BELUGA_ID_PHOTOS,beluga-1,0.459607458,2029,50,0.039548023,0,12672
blue_whale,Blue-Whales-Chile,blue_whale-0,0.404972867,1288,1,0.17211704,0.149741824,581
blue_whale,Blue-Whales-Chile,blue_whale-0,0.404972867,1288,5,0.142857143,0,1086
blue_whale,Blue-Whales-Chile,blue_whale-0,0.404972867,1288,10,0.115318417,0,1462
blue_whale,Blue-Whales-Chile,blue_whale-0,0.404972867,1288,15,0.092943201,0,1767
blue_whale,Blue-Whales-Chile,blue_whale-0,0.404972867,1288,20,0.08605852,0,2029
blue_whale,Blue-Whales-Chile,blue_whale-0,0.404972867,1288,25,0.079173838,0,2270
blue_whale,Blue-Whales-Chile,blue_whale-0,0.404972867,1288,30,0.074010327,0,2497
blue_whale,Blue-Whales-Chile,blue_whale-0,0.404972867,1288,35,0.072289157,0,2708
blue_whale,Blue-Whales-Chile,blue_whale-0,0.404972867,1288,40,0.063683305,0,2912
blue_whale,Blue-Whales-Chile,blue_whale-0,0.404972867,1288,45,0.058519793,0,3088
blue_whale,Blue-Whales-Chile,blue_whale-0,0.404972867,1288,50,0.051635112,0,3251
blue_whale,Cascadia-BlueWhales-new,blue_whale-1,0.404298577,4516,1,0.191596639,0.11092437,595
blue_whale,Cascadia-BlueWhales-new,blue_whale-1,0.404298577,4516,5,0.183193277,0,1172
blue_whale,Cascadia-BlueWhales-new,blue_whale-1,0.404298577,4516,10,0.149579832,0,1665
blue_whale,Cascadia-BlueWhales-new,blue_whale-1,0.404298577,4516,15,0.134453782,0,2080
blue_whale,Cascadia-BlueWhales-new,blue_whale-1,0.404298577,4516,20,0.127731092,0,2470
blue_whale,Cascadia-BlueWhales-new,blue_whale-1,0.404298577,4516,25,0.122689076,0,2848
